1920,60,192,0.4881889763779528,0,string_ensemble_1	,10
1920,60,192,0.2677165354330709,0,string_ensemble_1	,11
1920,60,192,0.4881889763779528,0,string_ensemble_1	,12
1920,48,192,0.4881889763779528,0,string_ensemble_1	,13
1920,36,192,0.4881889763779528,0,contrabass	,14
2400,55,192,0.4881889763779528,0,string_ensemble_1	,10
2400,55,192,0.2677165354330709,0,string_ensemble_1	,11
2400,55,192,0.4881889763779528,0,string_ensemble_1	,12
2400,43,192,0.4881889763779528,0,string_ensemble_1	,13
2400,31,192,0.4881889763779528,0,contrabass	,14
2880,60,192,0.4881889763779528,0,string_ensemble_1	,10
2880,60,192,0.2677165354330709,0,string_ensemble_1	,11
2880,60,192,0.4881889763779528,0,string_ensemble_1	,12
2880,48,192,0.4881889763779528,0,string_ensemble_1	,13
2880,36,192,0.4881889763779528,0,contrabass	,14
3360,64,192,0.4881889763779528,0,string_ensemble_1	,10
3360,64,192,0.2677165354330709,0,string_ensemble_1	,11
3360,64,192,0.4881889763779528,0,string_ensemble_1	,12
3360,52,192,0.4881889763779528,0,string_ensemble_1	,13
3360,40,192,0.4881889763779528,0,contrabass	,14
3840,65,720,0.4881889763779528,0,string_ensemble_1	,10
3840,65,720,0.2677165354330709,0,string_ensemble_1	,11
3840,65,720,0.4881889763779528,0,string_ensemble_1	,12
3840,53,720,0.4881889763779528,0,string_ensemble_1	,13
3840,41,720,0.4881889763779528,0,contrabass	,14
4560,64,80,0.4881889763779528,0,string_ensemble_1	,10
4560,64,80,0.2677165354330709,0,string_ensemble_1	,11
4560,64,80,0.4881889763779528,0,string_ensemble_1	,12
4560,52,80,0.4881889763779528,0,string_ensemble_1	,13
4560,40,80,0.4881889763779528,0,contrabass	,14
4640,62,80,0.4881889763779528,0,string_ensemble_1	,10
4640,62,80,0.2677165354330709,0,string_ensemble_1	,11
4640,62,80,0.4881889763779528,0,string_ensemble_1	,12
4640,50,80,0.4881889763779528,0,string_ensemble_1	,13
4640,38,80,0.4881889763779528,0,contrabass	,14
4720,60,80,0.4881889763779528,0,string_ensemble_1	,10
4720,60,80,0.2677165354330709,0,string_ensemble_1	,11
4720,60,80,0.4881889763779528,0,string_ensemble_1	,12
4720,48,80,0.4881889763779528,0,string_ensemble_1	,13
4720,36,80,0.4881889763779528,0,contrabass	,14
4800,59,384,0.4881889763779528,0,string_ensemble_1	,10
4800,59,384,0.2677165354330709,0,string_ensemble_1	,11
4800,59,384,0.4881889763779528,0,string_ensemble_1	,12
4800,47,384,0.4881889763779528,0,string_ensemble_1	,13
4800,35,384,0.4881889763779528,0,contrabass	,14
5640,55,96,0.4881889763779528,0,string_ensemble_1	,10
5640,55,96,0.2677165354330709,0,string_ensemble_1	,11
5640,55,96,0.4881889763779528,0,string_ensemble_1	,12
5640,43,96,0.4881889763779528,0,string_ensemble_1	,13
5640,31,96,0.4881889763779528,0,contrabass	,14
5760,59,192,0.4881889763779528,0,string_ensemble_1	,10
5760,59,192,0.2677165354330709,0,string_ensemble_1	,11
5760,59,192,0.4881889763779528,0,string_ensemble_1	,12
5760,47,192,0.4881889763779528,0,string_ensemble_1	,13
5760,35,192,0.4881889763779528,0,contrabass	,14
6240,62,192,0.4881889763779528,0,string_ensemble_1	,10
6240,62,192,0.2677165354330709,0,string_ensemble_1	,11
6240,62,192,0.4881889763779528,0,string_ensemble_1	,12
6240,50,192,0.4881889763779528,0,string_ensemble_1	,13
6240,38,192,0.4881889763779528,0,contrabass	,14
6720,65,192,0.4881889763779528,0,string_ensemble_1	,10
6720,65,192,0.2677165354330709,0,string_ensemble_1	,11
6720,65,192,0.4881889763779528,0,string_ensemble_1	,12
6720,53,192,0.4881889763779528,0,string_ensemble_1	,13
6720,41,192,0.4881889763779528,0,contrabass	,14
7200,62,192,0.4881889763779528,0,string_ensemble_1	,10
7200,62,192,0.2677165354330709,0,string_ensemble_1	,11
7200,62,192,0.4881889763779528,0,string_ensemble_1	,12
7200,50,192,0.4881889763779528,0,string_ensemble_1	,13
7200,38,192,0.4881889763779528,0,contrabass	,14
7680,67,720,0.4881889763779528,0,string_ensemble_1	,10
7680,67,720,0.2677165354330709,0,string_ensemble_1	,11
7680,67,720,0.4881889763779528,0,string_ensemble_1	,12
7680,55,720,0.4881889763779528,0,string_ensemble_1	,13
7680,43,720,0.4881889763779528,0,contrabass	,14
8400,69,80,0.4881889763779528,0,string_ensemble_1	,10
8400,69,80,0.2677165354330709,0,string_ensemble_1	,11
8400,69,80,0.4881889763779528,0,string_ensemble_1	,12
8400,57,80,0.4881889763779528,0,string_ensemble_1	,13
8400,45,80,0.4881889763779528,0,contrabass	,14
8480,67,80,0.4881889763779528,0,string_ensemble_1	,10
8480,67,80,0.2677165354330709,0,string_ensemble_1	,11
8480,67,80,0.4881889763779528,0,string_ensemble_1	,12
8480,55,80,0.4881889763779528,0,string_ensemble_1	,13
8480,43,80,0.4881889763779528,0,contrabass	,14
